DRUGID,TARGETID,DRUGNAME
D06FPF,T27999,Valortim
D06FZH,T50461,MazF gene therapy
D01FUL,T05152,Balapiravir
D0FP9N,T25608,P11187
D0X9HF,T16691,ABT-354
D0F4RX,T26327,OPC-14117
D0O3XS,T65755,GSK311739
D05VAE,T03644,Posiphen R-phenserine
D0V5AL,T83145,LC-1
D0V4XL,T93703,BMEC-1217B
D0L8OP,T27999,AVP-21D9
D07HYR,T88318,GCC-1290K
D03YBJ,T57278,DS-8895
D0KE4Z,T46937,ARL-67085
D0X9GE,T30208,CIGB-500
D0E7AS,T36658,SUN-N8075
D01TDY,T06850,Unacylated ghrelin
D03RCB,T01283,FGI-101-1A6
D07ANO,T65667,Synthetic neutrophil inhibitor peptide
D00FMK,T43189,SDZ-LAV-694
D0J6RV,T74977,BAY1161909
D09BZY,T67952,Nibentan
D0L2GX,T99347,RG7342
D09BQO,T89534,ATD transdermal gel
D07ELT,T65731,NOX-700
D06JQS,T38950,HuM195/rGel
D0R4YQ,T43332,CB-813
D0JF9Z,T44589,CSL-362
D0TP1P,T59045,CPP -15
D0Q3QS,T03403,4-aminosalicylate sodium
D05RWL,T28722,NSD-788
D05JPJ,T97587,ELND-004
D0GU4Z,T67952,CLP-1004
D07JBE,T65755,CG-200745
D01RRF,T68536,STA-5312
D01SZA,T83193,MR-1817
D00SIA,T57059,ARQ-171
D0Z9NY,T51666,API-023
D05DXT,T17569,XEN-D0103
D0YN4Y,T23547,PTI-202
D03DKR,T86836,GALAMUSTINE HYDROCHLORIDE
D01AYF,T86674,ND-1.1
D0G9SH,T46360,SA-5845
D0X3YY,T07394,OMP-52M51
D08FIX,T96892,OTSSP167
D00HZA,T19784,YPEG-Somatropin
D09MPD,T96079,ALX-0651
D0R9KG,T32060,Temanogrel
D0Y2XZ,T15344,MK-4166
D02JEW,T29960,GSK-2130579A
D0H8PX,T72702,MORAb-066
D0E2ZX,T67805,SGN-CD70A
D07JAI,T68536,NSC-639829
D08KNG,T23276,VAN-10-4-eluting stent
D06OFD,T75440,BAY-85-8102
D02UBC,T55860,MEDI6383
D05LKZ,T46781,HPP-607
D0Z5VG,T09826,CZ-48
D0K6JQ,T86836,INO-3401
D0UL7L,T14597,Recombinant human Erbb3 fragment therapeutic tumor vaccine
D0I4ZN,T16739,GSK2879552
D0CR4Z,T11754,IPI-940
D04PPK,T56545,CER-522
D0P2BD,T61729,SAFIRONIL
D0V4YO,T37847,ROCICLOVIR
D00BND,T85605,BF-1
D00HBR,T60693,AIKO-150
D00GPY,T39797,OMP-18R5
D0I6AU,T29303,BDD-10103
D05SOH,T34234,CTAP-201
D0JQ4S,T37308,Xmab-7195
D02RVC,T05152,PPI-383
D06ZHN,T09937,Lactermin
D00POS,T53381,DL-017
D0Y5ED,T86350,AV-203
D0IA5O,T82277,GSK-2241658A
D01OGV,T40332,POL-6014
D08OOJ,T12646,CB-5083
D00RGF,T84631,GCC-4401
D01QKZ,T27826,ABT-413
D01JTL,T14342,KM-023
D0L3RO,T87675,TAS-119
D0L2YF,T31309,Pc4
D0RH3S,T86052,DC/I540/KLH vaccine
D09ZLZ,T11211,RAD-140
D03BKV,T86052,KML-001
D0KV1I,T07958,GC-1113
D0AY1I,T37742,GSK-2315698
D08ENB,T86552,GSK1995057
D03BGG,T59604,ST-1141
D0N2QW,T86350,Patritumab
D03XHS,T61622,ACT-178882
D08OUV,T89534,CHF-4227
D02IYC,T94718,IMP-701
D06ALK,T88023,Xmab-2513
D00YDN,T50594,CXR-1002
D0EK1C,T83193,PHE-377
D0I0ZO,T43115,Anti-CD45 mabs
D01NGH,T06770,Multi-envelope HIV vaccine
D0Q4LG,T77594,IT-139
D0A4UW,T68887,BAY-86-7548
D08KIB,T11388,SAR-114137
D0T6ES,T46360,SSR-125329A
D0Z5DM,T78429,IMD-0354
D09NBH,T37434,ICT-121
D0EO2C,T25608,LY-2881835
D03YEG,T21960,REGN-910
D0G7SM,T49146,AEA-35p
D0C6ID,T47863,Citatuzumab bogatox
D0L3CQ,T79961,Dexpirronium
D0A6VD,T15068,VS-4718
D03MIN,T59679,M-0004
D0P5XM,T54379,SM04755
D0A1LS,T09826,Genz-644282
D0Z3LC,T22778,SR-4554
D0L4ZK,T99524,RG-7351
D0F4NN,T74002,CGTG-102
D0M0WM,T70062,ATI-355
D0I5JM,T40954,LC-350189
D04TIJ,T09826,Namitecan
D05CPS,T15739,Dendritic cell vaccine
D0Z6RW,T64987,LMP-1/LMP-2 CTLs
D05YQL,T73215,BM-ca
D09CZS,T09826,DRF-1042
D0U1HN,T61722,AM-211
D09LSY,T25258,EDP-322
D09FOP,T58992,MCP-202
D0H9OT,T21291,PfAMA-1
D03QWG,T45598,Ad-IFN-alpha
D07ODC,T68290,VBY- 036
D0E2ZA,T55094,PPC-5650
D08OVG,T68536,CKD-516
D0B9DI,T67162,Lu-AE04621
D0NI0X,T63934,SCH-721015
D0I4QA,T86350,Drug 2849330
D01KTG,T00176,HDM201
D0X2UK,T87024,Affitope AD-01
D05EHS,T12909,MyoDys
D0U3UJ,T03313,CHT-25
D0RD1I,T46616,XOMA-3AB
D03JZC,T09058,PF-06263507
D08UUD,T84631,R-1663
D0S9MD,T52227,DFP-11207
D00YBZ,T75251,OC-10X
D01NXX,T98022,SAR-126119
D00HHU,T60810,AFO-18
D07HKV,T67103,IMGN-388
D06YUM,T69494,AZD6423
D0G6HI,T82349,Friulimicin
D0J7QC,T45612,124I-8H9
D01GXL,T27198,REP8839
D0F7ZR,T02808,ARX-424
D0HJ7I,T85574,DA-727
D0PK3W,T82349,Lotilibcin
D08EEU,T58921,Englitazone sodium
D00ZGF,T59679,DA-6886
D08JYV,T97071,PSMA subunit vaccine
D0U9HM,T62306,GSK-1322888
D0D4UT,T86350,GSK2849330
D0O2MO,T81443,CRX-675
D0GS2W,T25258,W-198
D0J0RG,T67952,UK-66914
D0Z3BU,T05152,Drug 2878175
D0U7PM,T89988,OPL-CCL2-LPM
D06KWU,T87024,DWP-09031
D05LPW,T31391,DA-1229
D0ZM5E,T61698,VCL-1M01
D07CXM,T16605,AVI-7288
D0MA0F,T29649,WF-11605
D04UPW,T62306,RWJ-68023
D0DO5J,T17345,MDAM (y-methylene-10-deazaaminopterin)
D0T2EO,T58238,MAXY-4
D0S6KA,T14342,CALANOLIDE A
D07TRP,T81916,APTO-253
D03CWX,T61744,MEM-1414
D04HSH,T59328,IMGN289
D00RYA,T08391,SB-1578
D08FYH,T56915,PF-04776548
D0U0AU,T40332,AZD-9819
D09KYZ,T76685,V-24343
D0E7RC,T59328,HER-2/HER-1 vaccine
D0ZX2D,T87024,11C-6-Me-BTA-1
D02YEG,T40492,VBY-376
D0XJ6C,T15556,DIAPLASININ
D0NU6Y,T68782,192C86
D04CJE,T92076,ATF-936
D0F1JY,T61400,LAS-186323
D0G7BR,T75984,AMAP-102
D0KR5K,T14342,Capravirine
D04CJN,T56915,CTP-298
D08DTD,T12909,Biostrophin
D0O4NJ,T59735,Z-100
D08DPN,T05152,GSK-625433
D05KUP,T80896,ERB-257
D0O1WR,T60810,GMZ-2
D0D5LX,T49689,NKTT-120
D0N6VK,T40474,Hepapoietin
D0O9XN,T93788,APD-597
D0Y5QD,T55610,ENMD-1198
D09YAS,T42000,CYT-013-IL1bQb
D0N6ZP,T04394,SKF-105494
D0K5CJ,T68536,DAVLB-HYDRAZIDE
D02TMO,T99816,177Lu-AMBA
D0Z0FA,T00100,MLN7243
D0B5RZ,T05152,GS-6620
D05NUP,T82841,SBS-1000
D0RE4L,T85943,KX2-361
D0UM4S,T77190,ASG-15ME
D00BTW,T14342,UC-781
D07BNG,T27736,RHIgM12B7
D07LCY,T93627,RVSVIN HIV-1 gag vaccine
D09ELC,T97752,AVI-7537
D0V3HP,T20761,MP-0112
D00EGU,T07045,PACAP38
D07GVM,T62820,JNJ-42491293
D08ESA,T62184,CI-966
D07DPC,T83386,IMGN-853
D0P2GU,T71377,CSL-362-AML
D00EQY,T86350,KTN3379
D0U5PT,T67849,GS-9901
D03ZPX,T16691,PRX-07034
D02ESL,T90695,ON-01210.Na
D00EYC,T43332,F-7TG
D0D1XW,T78381,PEG-Interferon lambda (IL-29)
D09NVU,T34843,ZP-1848
D08KYN,T13741,INNO-105
D07GDR,T23797,AMG 282
D0Q8WG,T37693,Tedalinab
D00SVP,T60693,PF-4455242
D0D2LF,T11069,YM-116
D06NOF,T32060,ATI-9242
D08DFU,T14342,CMX-157
D0T3RR,T88697,ISIS-ANGPTL3
D09UMN,T66505,LEQ-506
D0W8NP,T83193,SAR-115740
D0B2NF,T88318,AEB701
D03RMN,T68536,1069C
D09PFR,T29736,LAMB3-transduced autologous epidermal stem cells
D00ROY,T82841,Adjustable basal insulin
D01KGP,T02598,"IPL 550,260"
D0W0VR,T23787,PFK-158
D05ASV,T48703,VTX-1463
D0T0KT,T12355,Briciclib
D07XDQ,T47094,Figopitant
D0F1ZB,T26226,LFA-102
D0OS8C,T40016,NCX-1015
D0KX8B,T42065,GNE Lipoplex
D00JQE,T15334,BAY-60-5521
D0Q3BG,T02808,"Gene therapy, IFN-b"
D06PZC,T77594,SAM-6
D0J8AE,T21617,OMN-54
D0UK7B,T86350,REGN1400
D0S4XZ,T76855,GE-1170A
D03YGP,T89534,CC-8490
D00BVJ,T95385,NHS-IL 12
D0U8XW,T13348,APX-3330
D05EBY,T62206,PCSK9 Adnectin
D0O0RG,T18779,MUC-1 dendritic cancer vaccine
D01RCM,T29130,TAK-114
D0B4CD,T13852,GSK-2018682
D0S1BN,T67952,Iptakalim
D01SPJ,T11451,Litenimod
D0V3BZ,T38179,ME-1071
D0G0ZE,T87166,TTP-547
D02AWQ,T11451,AZD1419
D0AR7L,T68782,SAR-389644
D0P5CM,T29303,AZD-3161
D0Z6AM,T96299,Ipafricept
D0I3TU,T61722,MK-7246
D0P8YJ,T45593,PTI-80
D0U0SK,T76630,GZ402668
D0U5BF,T10735,ALPHA-FMH
D0Y8BW,T05152,TMC-647055
D0JA7V,T30082,PRX-105
D0JY2X,T76414,Neu-2000
D0V4XG,T70490,GSK2793660
D0K1LJ,T46084,Ad5-TRAIL
D03HIG,T20178,AVX-470
D0V5JO,T86836,T-0128
D0HX1T,T23348,DA-697b
D0G2XR,T55709,TCD-717
D08YGY,T98913,MK-6302
D09HFJ,T96721,NM-3
D0S0NX,T08391,Peginterferon beta
D0OU3Q,T84160,TAK-058
D0J2OC,T05152,MBX-700
D0V6JF,T98022,SAR-104772
D0Q0RK,T56923,AZD4721
D00VFH,T59550,PXS-25
D04DUH,T20178,PMI-005
D06IEX,T94977,Cardiotrophin-1
D05WQT,T00938,Flanvotumab
D0L1UH,T69494,ASP-0777
D0XB1M,T14342,MSH-372
D0S7VI,T92076,AXT-914
D00MAN,T96144,GRC-6211
D03MWZ,T02333,Syntropin
D06JBV,T25739,SGN LIV1A
D02ONT,T86836,5-FP
D0PF8B,T54447,PEDF gene therapy
D02KLD,T16691,BVT-74316
D03BHZ,T95913,AZD8186
D0X4ZV,T78890,BAX-499
D04ZWQ,T28722,Org-25435
D0TJ7S,T75797,PDC-41
D0K9DI,T61744,GSK-356278
D02STG,T18876,ONO-4232
D0Q6SF,T14592,APO-010
D09MEV,T99799,JES-9501
D03PKJ,T14342,MK-6186
D0C4BD,T73097,KH-901
D0N1GB,T64765,APD-916
D0X6ZG,T17569,XEN-D0101
D0O7RY,T82349,IDR-1018
D07PRC,T34743,BAL-30072
D0O0JB,T97071,PSMA-targeted tubulysin B conjugates
D04OSA,T73992,AZD-3839
D08QDF,T87024,Systebryl
D0GV0Q,T96144,BMY-43748
D06ESU,T61722,AM-461
D08NIN,T36075,NN-9926
D0G7YS,T15739,ONYX-015
D0SD3E,T12119,PF-05186462
D0Q1UB,T31514,GZ402666
D00CQL,T11451,N-8295
D0N1BF,T73992,LY-2811376
D0CE8J,T73726,Genaconazole
D04UWG,T97071,Autologous T-cell therapy
D0W1YV,T98913,PLX-5622
D0C1ZO,T07806,[N-methyl-3H(3)]AZ-10419369
D0B0VD,T96837,MORAb-022
D0FP0D,T28893,AZD-6088
D0D3FP,T11211,Drug 2881078
D0H7ZN,T14597,VM-206
D00EHX,T42000,TT-301
D00SYV,T35232,GSK2618960
D0M1DG,T01232,RTL-1000
D01JWH,T34843,SAN-134
D0E4GE,T01840,AZD-2551
D00IXN,T44282,GS-6637
D03JRO,T29303,ADCI
D00SSZ,T65755,OBP-801
D02PMT,T97765,Nagrestipen
D0S7UQ,T06182,RG-7103
D0L0DZ,T71167,XL-041
D05FIJ,T25265,GSK2816126
D0MG2R,T21334,ALX-0141
D0TN7S,T97071,BAY-1075553
D0E5GI,T47094,CJ-12255
D05REB,T30082,ZT-1
D0N2GQ,T00420,ATI-0917
D00WDY,T93788,BMS-903452
D0N3PC,T59328,MR1-1
D0LF3K,T86674,A/Anhui/05
D0D3XM,T54128,TAK-137
D0H2DS,T22032,PTH(7-34) liposomal cream
D03XCR,T68536,Simotaxel
D0O9HF,T14597,TrasGEX
D02DXC,T90648,SPN-803
D0U7OS,T61622,CARD-024
D02XGC,T83193,PF-3864086
D01REJ,T68290,VBY- 891
D0KR1N,T75596,PPI-2458
D0T4NV,T48457,CDX-1135
D0YP0C,T76198,DT-TX-30
D0G4ES,T45993,Tetrandrine
D0L6RF,T58454,BAY1179470
D0L3DC,T86130,HMR-1031
D05ODU,T95371,Belerofon
D0G3EU,T06841,AMG-139
D0I2VT,T77400,ND7001
D05DOY,T47863,ING-1
D08PIK,T16691,11C-GSK-215083
D08FNJ,T73476,RO-14
D08ZRR,T30082,KW-5092
D0Z0EP,T16601,CIGB-M3
D0AZ3Y,T96079,CTCE-0214
D00HYD,T86591,CDT-fenofibrate
D09URP,T86836,DABIS MALEATE
D0PB0U,T12119,RG7893
D0C5OK,T08441,Drug 2838232
D0EH0C,T78709,AV-965
D0U2PS,T14597,HER2p63-71 peptide vaccine
D0M4HL,T16688,P-7435
D07KHR,T97071,PSMA-VRP
D09ZRB,T09130,PUR0200
D01YIF,T57943,PAC1
D0T3DG,T02719,BCI-632
D05CFQ,T57700,AMG-191
D0H9RD,T34743,DZ-2640
D01WZL,T61744,AVE-8112
D01RVA,T84160,ADR-851
D0ZW4W,T58998,(+)-JQ1
D07EFM,T28893,Arecoline
D02PGP,T18477,PU3
D02VKC,T76414,NBQX
D0Y3XA,T82913,Ge2270a
D05EPU,T51408,ZD7114
D0VW0I,T70101,Cyclopentenylcytosine
D06OZJ,T66665,RWJ-67657
D0VO7R,T96144,AjvW2
D0D1HS,T74312,Ki23819
D0IZ1A,T89918,LY309887
D0IJ7O,T68251,Metastat
D06EXA,T60693,SALVINORIN A
D0L5VS,T86679,KF-17837
D0W4YO,T52921,NOCICEPTIN
D07NFW,T51408,BMS-196085
D05WSP,T98022,UK-396082
D0W8OJ,T30687,A-348441
D03GNI,T57392,ISOQUINE
D09OCK,T07663,UK-371800
D0PQ8T,T49072,SB-436811
D0I2XM,T44068,L-796568
D0Q5QC,T63986,EMD-534085
D07UGA,T13852,Sphingosine-1-phosphate
D00VNH,T54128,ZK-200775
D0GP0H,T51425,VGX-100
D06CVN,T83386,EC0489
D07USV,T14597,MM-302
D0NC1Q,T67805,AMG 172
D08CNP,T08391,AC430
D04CXX,T11451,GNKG-168
D0B3GF,T00176,JNJ-26854165
D0I7MG,T49639,AG-707
D05ZEW,T86836,INO-3510
D03TAY,T86674,VGX-3400
D05LMC,T59328,AMG 595
D02MRX,T25005,ONO-4059
D04VVD,T86052,TeloB-Vax
D04KRV,T97071,Iofolastat I-124
D07UKJ,T28717,Enavatuzumab
D02XAC,T52671,MG-1102
D06UOU,T45612,MGA271
D08SIT,T40097,NKP-1339
D0GS9X,T55273,OMP-21M18
D09JGK,T40694,TAK-960
D01ZLR,T93923,PF-05082566
D09JSM,T07303,IMC-3C5
D01NSM,T58184,TST-10088
D04CYD,T18779,ONT-10
D0S9OH,T17345,L-MDAM
D00JMY,T59631,AMP-224
D08DSF,T07485,MEDI-557
D0O5CV,T37308,MEDI4212
D0U7NG,T04394,BAY 86-8050
D0P2ZY,T29960,INNO-305
D0H2YY,T36467,JX-929
D0S4KJ,T76093,KHK-2866
D0F5KN,T97071,99mTc-MIP-1405
D0Z7FK,T09826,XMT-1001
D09RLQ,T85554,CDX-1127
D0C0SZ,T62431,PRT6207
D07BKR,T28484,ARQ 621
D04AZM,T99089,ARQ 736
D0DC8J,T20178,CYT-609
D03MDW,T87166,DS-7309
D06RHC,T98022,DS-1040
D0R9VX,T75243,DS-3078
D0X8XT,T13852,CS-0777
D03IJO,T67849,GS-9820
D0P5IZ,T46781,BI-811283
D09KRU,T46781,BI-831266
D0KP9A,T99948,Anti-PD-L1
D06FHQ,T67805,BMS-936561
D0Z8JR,T96079,BMS-936564
D07SQT,T86264,Ferroportin mab
D0V4YW,T22995,Hepcidin mab
D01FFC,T29130,OPB-51602
D0U8QH,T75243,GDC-0349
D01ZUV,T62449,GDC-0425
D04ZIZ,T05938,DMUC-5754A
D0YH8F,T15023,RG7347
D09GEK,T56418,ASP3026
D08UHV,T44141,AMG 780
D03FOP,T67849,AMG 319
D06ZXF,T76093,U3-1565
D0YG4P,T92124,Anti-OX40 mab
D0I2IY,T40474,ABT-700
D0KV2E,T13852,Sonepcizumab
D03XRA,T59631,GSK2661380
D0D2WX,T24982,1614235 + 2330672
D04FKX,T41955,D-3263
D0M8AI,T14597,ARRY-380
D0G3MN,T05031,GSK2636771
D03PQW,T64567,BAY 79-4620
D0P5MG,T87108,BAY 94-9343
D04RHJ,T86350,RG7116
D0E6KN,T69912,GSK2647544
D0A8KQ,T35734,GSK2256294
D0O7QQ,T48069,BIIB 022
D05RGV,T40694,MK-1496
D08IRG,T47864,BIIB 015
D0H3VK,T18477,BIIB 028
D0ZI5A,T80975,PF-00337210
D0A8HN,T06671,Iboctadekin
D0H2CF,T18779,Anti-MUC1 mab
D0L6SS,T14755,BPX-101
D0X3CD,T86836,Thiarabine
D0U9NN,T36075,OG987SC
D0O6YE,T91286,RG7450
D00UQW,T62449,RG7741
D0LB6D,T84133,RG7203
D0BW2N,T09826,GZ402674
D01SJT,T15068,PF-562271
D01LCC,T40474,PF-4217903
D08MHM,T98293,PF-3758309
D0P9KD,T83905,PF-3732010
D0U8LD,T11451,MGN-1706
D0R9YR,T37847,BETULINIC ACID
D0GM6E,T80975,Pegdinetanib
D0B8MS,T57278,MEDI-547
D07ZNF,T74312,IMC-EB10
D0Y8UV,T40474,EMD-1204831
D0A9GI,T44682,ILV-095
D0C5NP,T98896,AGG-523
D0H0FX,T53585,NCX-6560
D06KXS,T14342,PT-112
D0UN1S,T07374,Tigapotide
D0NR7H,T05152,A-837093
D0EM4S,T83193,JNJ-39439335
D0R9HE,T58589,BI 113823
D02DJR,T60724,AMG 167
D04OMR,T56697,PF-04840082
D01TLV,T63414,EVT 401
D0Y0FZ,T20178,PF-05230905
D08YWY,T22095,SCH-900117
D03QEB,T74402,VGX-1027
D0U0RJ,T19579,Leukocyte interleukin
D0S3BF,T05196,Pegadricase
D03BLG,T45598,AGS-009
D06FLP,T77664,AMG 811
D02KAW,T14755,CDP-7657
D0E6NH,T62705,MEDI-570
D01QSG,T61622,VTP-27999
D06KPR,T36557,CER-002
D05UCW,T06671,MEDI-2338
D0NN7L,T17248,AC 165198
D02MZD,T17248,AMG 876
D0Z1OS,T31391,ARI-2243
D0B5HF,T65200,BI-135585
D0FC4R,T36075,CVX 096
D0ZF8F,T92030,HIP-2B
D0W7LO,T83011,PF9601N
D0X2NN,T84631,BIBT986
D0Z9RJ,T92072,GS 9667
D04KVA,T99379,BVI-007
D0Z0AM,T10965,PSI-697
D01SYU,T51426,Turofexorate isopropyl
D06LEA,T73476,MER-102
D0D5EJ,T85435,Insulin oral sublingual
D08TGG,T85435,Insulin transdermal
D0D6OO,T82841,NP-500
D0WK6V,T42928,PF-05231023
D0O3EP,T14731,SRT2379
D0X3TI,T14731,SRT3025
D0L5FB,T87166,TAK-329
D07EPV,T31391,Teneligliptin
D0L1ZK,T56545,MDCO-216
D09VBE,T46937,Elinogrel
D01CIB,T37154,SAR164653
D0SF5Q,T86836,Pennvax-B
D0X0OF,T86836,Pennvax-G
D07FPY,T68547,SB-639
D0O9UC,T09960,Tak-220
D09WZU,T02719,BCI-838
D05LRD,T34429,BMS-933043
D07IGC,T58921,DSP-8658
D08TVI,T73992,HPP-854
D0R2OU,T64765,Irdabisant
D0O8UB,T73992,RG7129
D0N9JB,T87024,SAR228810
D01ZSP,T87024,AAB-003/PF-05236812
D0OW9L,T64765,MK-3134
D09PYZ,T99347,MK-3328
D0Y2GJ,T78709,DSP-1053
D04MGD,T45993,Elpetrigine
D08SHE,T27812,SEP-228432
D02JGD,T32060,SKL-10406
D0O8SB,T73476,OPK-0018
D04LWT,T49072,GSK1440115
D0X0PP,T84133,AMG 579
D0R8HY,T69685,DCCCyB
D0F4NP,T69685,JNJ-17305600
D0Y3AZ,T69685,MK-2637
D00GCA,T64765,MK-7288
D08GFN,T36935,MVA-BN Breast
D00CGX,T46482,DV-1179
D00CLC,T70071,SLV-338
D00DXH,T71266,LYS-6KAKT1
D00EZO,T63967,TC-2216
D00IFR,T07279,AZD1208
D00JDL,T71377,MGD006
D00JJW,T86836,RH 1
D00KMQ,T82841,OI362GT
D00KNI,T15068,BI-853520
D00LOB,T94033,RWJ-671818
D00OAU,T77365,GW-328267
D00QWU,T71167,BMS-779788
D00SFY,T30085,BI-44847
D00WPT,T21434,ACV-1
D01CDE,T84160,BIMU-1
D01GQD,T02677,EZN-3042
D01NAP,T59328,MM-151
D01OOQ,T54519,FP-253-GDEPT
D01XQQ,T71086,TT-30
D01XUE,T83813,Tedatioxetine
D01XZG,T89361,G1T28-1
D02ADC,T33754,SDZ-MKS-492
D02BAW,T34997,MK-6325
D02EOS,T21960,CVX-241
D02NIP,T84160,ITASETRON
D02PYB,T50688,SDZ-GPI-562
D02UIC,T94033,SSR-128428
D02URD,T44919,SAR425899
D02ZCE,T27812,AD-337
D02ZPN,T91480,NN-414
D03APM,T85670,ABT-110
D03AVS,T71266,SR13668
D03EZE,T95913,GSK2126458
D03NLQ,T04902,ABT-957
D03OFN,T96144,NK-314
D03PRV,T27812,BGC-20-1259
D03RJZ,T86591,Oxeglitazar
D03UDW,T84397,AI-850
D03YSQ,T15739,SAR-405838
D04AHQ,T51883,LY3009120
D04FMB,T85733,XK-469
D04JAT,T89950,PF-4427429
D04KNL,T47623,PG-545
D04KWY,T55959,RTI-336
D04LIH,T97752,AVI-6002
D04NJS,T36557,SAR351034
D04OLK,T59328,AST-1306
D04SQJ,T63966,EW-A-401
D04UNO,T51408,KUL-7211
D04UTH,T07958,Long-acting erythropoietin conjugate
D05BSG,T49639,Enkastim-ev
D05DCL,T98933,ZYT-1
D05GUK,T09826,INTOPLICINE
D05HID,T84584,rAAV1.tMCK.human-alpha-sarcoglycan
D05KNG,T68536,ALB-109564(a)
D05MVA,T50688,RGD-891
D05NLD,T23003,ARRY-300
D05UFJ,T49639,Minnelide 001
D05UJS,T29075,ADVAX
D06ERY,T17569,BMS-394136
D06EXI,T47165,FGLL
D06KUY,T40492,ACH-2684
D06NDP,T77664,CIGB-128
D06PSU,T81386,BAY1143572
D06RUK,T56365,Combotox
D06RYY,T55285,ZD-9379
D06SJZ,T85733,XB-947
D06SUS,T28722,AZD-3043
D06VAQ,T22977,EUK-189
D06WHY,T70176,AZD-5438
D06XDJ,T04911,Clemizole
D07BXE,T96144,Daniquidone
D07CLV,T16769,GDC-0152
D07DAU,T96144,Tafluposide
D07LWK,T67952,AVE0118
D07OBJ,T34997,PHX-1766
D07OFM,T58998,GSK525762
D07OSS,T46456,9cUAB-30
D07RIJ,T74002,Autologous melanoma cell vaccine
D07RKN,T13127,GGTI-2418
D07TWK,T71266,TCN-P
D07UUB,T74312,4SC-203
D07ZUX,T71192,CR-3465
D08DCP,T46781,BI-847325
D08FKL,T24626,ACHN-975
D08JAN,T14597,Cipatinib
D08JVS,T91023,NU-206
D08JXW,T51282,INS-117548
D08OHK,T10092,AKP-501
D08OUL,T30085,EGT-0001474
D08SJY,T51803,MRX34
D08XBF,T88806,AMEP
D08XKL,T99840,SPI-014
D09DJC,T95289,IRX4204
D09ETH,T40474,E-7050
D09IYM,T84726,AT13148
D09JCH,T74002,CDNA vaccine
D09POQ,T82078,OM-174
D09PRN,T14342,TROVIRDINE HYDROCHLORIDE
D09SZY,T72335,IQ-DAA
D09TGT,T31600,Atu-027
D09ZVC,T99840,Begacestat
D0A1GR,T02617,CALAA-01
D0A7KI,T67162,Abaperidone
D0A8LP,T72042,AG2034
D0AX9S,T86591,GW-409544
D0B2HF,T82841,OI287GT
D0C0QT,T40555,PPI-461
D0C1AY,T82577,GW-796406
D0C9JJ,T20891,AR-12
D0CB6N,T97752,AVI-6003
D0CN7I,T01110,IMC-CS4
D0D0GH,T85670,NsG-0202
D0D0KZ,T40555,AV4025
D0DT8Y,T32578,MEDI5117
D0E1VV,T09826,ELOMOTECAN HYDROCHLORIDE
D0E2LA,T96144,TAS-103
D0E6VR,T48940,DS-1093
D0F0JJ,T99840,E2012
D0F2IM,T60930,MEDI-573
D0F2JY,T86836,LY-2334737
D0F3ZG,T46524,RO-5458640
D0F7NT,T33754,349U85.HCL
D0F8HS,T78709,NLX-101
D0FM7Z,T27812,BL-1021
D0FW0B,T44919,ZP2929
D0FY1W,T30081,Thymidine kinase-expressing adenovirus and ganciclovir suicide gene therapy
D0G4CF,T86679,CVT-6883
D0G6UQ,T94033,EP-42675
D0G7LC,T02591,PENNVAX-6
D0GE5B,T68547,RG-2833
D0GY1Y,T71167,CS-8080
D0H0YZ,T65198,GGF-2
D0H0ZV,T60708,MEDI7814
D0H4DR,T71167,BMS-852927
D0H9HT,T83797,TAK-701
D0HH0G,T34867,ABT-767
D0HN6Q,T05152,RG-7348
D0I1OS,T99840,E-2212
D0I3RD,T23003,TAK-733
D0I8DX,T98913,AMG 820
D0I8TW,T82841,IBC-VS01
D0IQ0Z,T97592,GSK1070916
D0JA3Y,T85670,MEDI-578
D0JW2O,T86350,Anti-HER3/EGFR DAF
D0K0GF,T67162,SSR-181507
D0K2NA,T76198,YM-57158
D0KJ2J,T05031,BAY 1082439
D0L1ZM,T48069,HF-0299
D0L6VH,T00140,BF-389
D0M4BB,T14755,Chi Lob 7/4
D0MB2Z,T14463,ATR-101
D0MS3Z,T71266,GSK690693
D0MU1F,T97759,XTL-6865
D0N3NL,T39087,Acriflavine
D0N4NJ,T67162,YKP-1358
D0N6NM,T15068,CEP-37440
D0N7BL,T55285,UK-240455
D0N8RV,T57700,OSI-930
D0N9PL,T27611,ACE-041
D0N9TY,T40555,AZD-7295
D0NF5J,T55610,EZN-2968
D0O1LD,T95913,ZSTK474
D0O4UZ,T06770,Gp41 HIV-1 vaccine
D0OK5R,T32578,OP-R003
D0P0HU,T97592,GSK1070916A
D0P0TA,T20059,GC-1008
D0P2KG,T47094,GSK1144814
D0P4KU,T83797,ABI-011
D0P6NP,T40555,EDP-239
D0P9KA,T45993,YM-16151-4
D0PO0B,T99727,Cilobradine
D0PR6H,T86836,PENCLOMEDINE
D0Q0JI,T50089,ASP-4058
D0Q0PO,T71266,LY2780301
D0Q4IX,T58970,GDC-0994
D0Q4JM,T66505,TAK-441
D0Q5TH,T96144,XR-5944
D0Q5VW,T76396,L-778123
D0Q6GD,T40696,WCK-1152
D0Q7AG,T15739,CGM097
D0Q7RE,T46781,AZD-1152-HQPA
D0R1VU,T95913,Perifosine
D0R4EN,T71167,LXR 623
D0B5PK,T40556,TEN010
D0RU7T,T78356,G-619
D0S0OI,T14342,ATEVIRDINE
D0S9IE,T71266,BAY1125976
